Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
14600	-222.842395312658	6	3	1
14700	-213.071786069852	6	3	1
14800	-226.334440003524	6	2	1
14900	-227.999242063554	8	4	0
15000	-219.115764620619	5	4	1
15100	-218.598704926244	4	3	4
15200	-220.580824481951	5	1	0
15300	-218.484359521799	6	1	1
15400	-229.231572740937	9	2	2
15500	-222.590250120417	6	5	1
15600	-226.652469618776	8	1	1
15700	-221.362240066575	5	4	1
15800	-212.91764865178	4	1	3
15900	-208.34090946332	3	3	3
16000	-211.422587549639	3	4	3
16100	-208.631556063145	4	2	2
16200	-222.334171008432	5	3	1
16300	-215.161919138354	6	3	1
16400	-220.633289747547	6	5	1
16500	-220.266614339966	7	3	2
16600	-217.238737469557	6	1	1
16700	-232.479148968496	7	2	1
16800	-219.117689842747	5	1	1
16900	-218.889257036633	5	2	2
17000	-238.90486067484	7	3	3
17100	-219.186961123163	3	1	1
17200	-212.640218537045	3	3	1
17300	-231.641786129364	4	3	0
17400	-226.224024785836	3	2	2
17500	-214.364926495025	4	3	3
17600	-231.489882766771	7	2	2
17700	-231.551708067103	7	2	2
17800	-226.999941688435	4	1	2
17900	-224.76837567092	4	3	0
18000	-211.567962087229	5	1	1
18100	-219.817143347702	4	5	2
18200	-212.692050178276	4	6	1
18300	-214.861465619835	7	2	1
18400	-215.34277153298	5	3	1
18500	-219.835925431383	7	3	1
18600	-220.140877158934	6	1	1
